New log started at SystemTime { intervals: 134126212066562893 }
Generation	Highest Fitness
0	-263
1	-6
2	-69
3	288
4	119
5	299
6	92
7	289
8	393
9	285
10	323
11	291
12	291
13	323
14	349
15	399
16	480
17	527
18	461
19	507
20	484
21	503
22	649
23	649
24	564
25	740
26	740
27	799
28	740
29	746
30	746
31	746
32	892
33	921
34	936
35	936
36	936
37	936
38	945
39	954
40	858
41	974
42	974
43	993
44	1022
45	982
46	1022
47	1022
48	1101
49	1015
50	852
51	1094
52	1012
53	1012
54	1070
55	1113
56	1047
57	1004
58	1019
59	1044
60	996
61	996
62	1012
63	1057
64	1050
65	1073
66	1020
67	1143
68	1128
69	1130
70	1130
71	1130
72	1279
73	1279
74	1262
75	1262
76	1322
77	1321
78	1308
79	1279
80	1268
81	1268
82	1347
83	1297
84	1342
85	1371
86	1451
87	1451
88	1451
89	1446
90	1446
91	1424
92	1424
93	1615
94	1615
95	1644
96	1587
97	1729
98	1689
99	1668
