# Log started at SystemTime { intervals: 134199957076363277 }
Generation	Highest_Fitness
0	-17692
1	-12282
2	-12620
3	-15058
4	-12620
5	-10080
6	-12580
7	-12537
8	-10080
9	-12591
10	-12597
11	-12517
12	-12588
13	-10052
14	-7552
15	-12494
16	-12575
17	-9965
18	-7552
19	-10052
20	-12475
21	-9975
22	-9949
23	-12456
24	-7475
25	-7523
26	-12363
27	-7363
28	-7363
29	-7363
30	-7363
31	-4946
32	-4816
33	-4946
34	-2446
35	-4946
36	-4917
37	-4878
38	-4878
39	-4878
40	-4868
41	-4878
42	-7366
43	-4846
44	-4878
45	-4878
46	-4878
47	-7368
48	-4878
49	-2378
50	-2336
51	-2378
52	-7368
53	-2378
54	-4868
55	-4878
56	-2378
57	122
58	-2368
59	132
60	-4868
61	-2368
62	-2368
63	-2368
64	164
65	-2368
66	-2368
67	-2368
68	-2336
69	-4836
70	-2336
71	-2301
72	-2336
73	-2336
74	-2301
75	-4801
76	-2301
77	-7301
78	-4801
79	-4801
80	-2301
81	-4801
82	-2301
83	-4801
84	-4801
85	-4801
86	-4801
87	-2301
88	-4801
89	-4801
90	-4801
91	-2206
92	-2206
93	-2206
94	-2203
95	-2203
96	-2203
97	-2203
98	-2203
99	-2203
100	-2203
101	-2203
102	-2203
103	-2203
104	-2203
105	-2203
106	-2203
107	-2203
108	-2203
109	-2203
110	-2203
111	-2203
112	-2203
113	-2203
114	-2203
115	-2203
116	-2203
117	-2203
118	-2203
119	-2203
120	-2203
121	-2203
122	-2203
123	-2203
124	-2203
