# Log started at SystemTime { intervals: 134192809767573452 }
Generation	Highest_Fitness
# Log started at SystemTime { intervals: 134192809767573452 }
0	-18850
1	-12631
2	-15683
3	-9439
4	-6314
5	-131
6	-3170
7	-3193
8	-3189
9	-3189
10	-68
11	-6188
12	-3060
13	-6185
14	-3060
15	-3071
16	-3060
17	-3060
18	-3071
19	-3041
20	-3041
21	-3041
22	-3035
23	-3035
24	-3025
25	-2936
26	-3019
27	-3015
28	-3015
29	-3015
30	-3009
31	-2996
32	-2993
33	-2993
34	-2993
35	-2993
36	-2974
37	-2974
38	-2974
39	-2910
40	215
41	-2897
42	-2897
43	231
44	250
45	228
46	-2894
47	228
48	250
49	250
50	250
51	250
52	-2875
53	250
54	250
55	-2875
56	250
57	250
58	250
59	-2875
60	-2875
61	250
62	-2872
63	250
64	250
65	250
66	253
67	250
68	250
69	250
70	250
71	250
72	250
73	-2872
74	-2872
75	-2872
76	253
77	253
78	253
79	253
80	253
81	253
82	-2872
83	253
84	253
85	-2872
86	253
87	253
88	253
89	-2872
90	253
91	253
92	253
93	253
94	253
95	253
96	253
97	253
98	253
99	253
100	253
101	253
102	253
103	253
104	253
105	-2872
106	-2872
107	253
108	253
109	253
110	253
111	253
112	253
113	-2872
114	253
115	253
116	253
117	253
118	253
119	253
120	253
121	253
122	253
123	-2872
124	253
125	253
126	253
127	253
128	253
129	-2872
130	-2872
131	253
132	253
133	253
134	253
135	253
136	253
137	-2872
138	253
139	253
140	253
141	253
142	253
143	253
144	253
